date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair,played,pa_actual,hr_actual,hr_yes,graded_at
2026-08-12,824562,668709,JJ Bleday,Cincinnati Reds,Chicago White Sox,0,Luis Castillo,622491,R,20,377,4.2,1.48,1.09,,1.07,1.05,1.0,,,,21.3,351,310,320,+369,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824562,701398,Sal Stewart,Cincinnati Reds,Chicago White Sox,0,Luis Castillo,622491,R,25,511,4.3,1.43,1.07,,1.07,1.05,1.0,,,,20.7,431,350,390,+383,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823916,695506,Jac Caglianone,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,21,435,3.9,1.4,1.03,,1.19,1.1,1.0,,,,20.7,372,210,350,+383,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823833,664040,Brandon Lowe,Pittsburgh Pirates,Miami Marlins,0,Janson Junk,676083,R,25,496,4.4,1.47,1.19,,1.04,0.92,1.0,,,,20.5,326,350,330,+388,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824562,695657,Colson Montgomery,Chicago White Sox,Cincinnati Reds,1,Rhett Lowder,695076,R,26,473,4.2,1.56,1.09,,0.97,1.05,1.0,,,,20.4,291,280,265,+390,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823916,660271,Shohei Ohtani,Los Angeles Dodgers,Kansas City Royals,1,Daniel Lynch IV,663738,L,26,505,4.4,1.49,1.16,,0.86,1.1,1.0,,,,20.2,256,230,245,+395,1,4,1,1,2026-08-13T05:31:35Z
2026-08-12,823263,694192,Jackson Chourio,Milwaukee Brewers,San Diego Padres,0,Robbie Ray,592662,L,17,387,4.5,1.29,1.06,,0.99,0.98,1.18,,WIND 9 OUT,,19.8,429,333,390,+405,1,6,0,0,2026-08-13T05:31:35Z
2026-08-12,823672,624413,Pete Alonso,Baltimore Orioles,Minnesota Twins,0,Zebby Matthews,805673,R,26,522,4.3,1.46,1.12,,1.15,0.99,0.86,,WIND 7 IN,,19.4,500,,500,+415,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,823017,691023,Jordan Walker,St. Louis Cardinals,Philadelphia Phillies,1,Zack Wheeler,554430,R,23,495,4.2,1.37,1.02,,1.02,0.94,1.22,,WIND 11 OUT,,19.4,550,,500,+415,1,4,0,0,2026-08-13T05:31:35Z
2026-08-12,824562,553993,Eugenio Suárez,Cincinnati Reds,Chicago White Sox,0,Luis Castillo,622491,R,17,346,4.0,1.39,1.07,,1.07,1.05,1.0,,,,18.8,449,325,390,+432,1,4,0,0,2026-08-13T05:31:35Z
