id,kind,so,denom,season
680689,P,30,172,2025
680694,P,47,126,2025
680702,P,4,15,2025
680704,P,16,69,2025
680730,P,103,725,2025
680732,P,133,596,2025
680736,P,76,280,2025
680742,P,46,180,2025
680755,P,62,202,2025
680767,P,49,215,2025
680951,P,5,23,2025
681006,P,36,151,2025
681151,P,8,47,2025
681168,P,20,84,2025
681190,P,78,570,2025
681217,P,13,49,2025
681293,P,31,156,2025
681343,P,145,616,2025
681347,P,97,402,2025
681432,P,4,15,2025
681517,P,80,363,2025
681676,P,34,140,2025
681751,P,10,35,2025
681799,P,6,39,2025
681810,P,9,34,2025
681867,P,9,80,2025
681870,P,42,121,2025
681892,P,40,183,2025
681895,P,25,80,2025
681911,P,80,237,2025
681916,P,4,48,2025
681982,P,74,299,2025
682052,P,113,399,2025
682120,P,45,194,2025
682243,P,74,392,2025
682254,P,63,209,2025
682274,P,21,84,2025
682610,P,14,51,2025
682825,P,21,96,2025
682842,P,90,298,2025
682989,P,14,81,2025
682995,P,3,12,2025
683004,P,148,646,2025
683155,P,6,55,2025
683175,P,32,98,2025
683232,P,46,221,2025
683409,P,43,275,2025
683618,P,18,78,2025
683627,P,24,160,2025
683766,P,0,16,2025
683769,P,73,274,2025
684007,P,117,567,2025
684320,P,66,298,2025
684974,P,7,41,2025
685005,P,3,12,2025
685126,P,74,306,2025
685299,P,62,337,2025
685801,P,12,60,2025
686218,P,89,291,2025
686228,P,14,65,2025
686563,P,86,466,2025
686580,P,25,137,2025
686613,P,206,729,2025
686747,P,2,33,2025
686751,P,17,54,2025
686753,P,0,13,2025
686790,P,14,60,2025
686799,P,72,512,2025
686930,P,18,104,2025
686973,P,75,296,2025
686993,P,70,266,2025
687064,P,47,256,2025
687075,P,17,84,2025
687209,P,13,43,2025
687223,P,27,175,2025
687330,P,35,171,2025
687377,P,25,120,2025
687396,P,30,92,2025
687473,P,97,453,2025
687606,P,28,110,2025
687765,P,66,375,2025
687849,P,16,76,2025
687911,P,69,275,2025
687931,P,16,102,2025
688107,P,5,29,2025
688158,P,50,193,2025
688297,P,15,101,2025
688497,P,22,72,2025
688642,P,19,138,2025
689017,P,42,185,2025
689147,P,65,266,2025
689225,P,16,103,2025
689254,P,56,215,2025
689266,P,30,136,2025
689520,P,7,26,2025
689690,P,23,153,2025
690829,P,1,20,2025
690925,P,33,104,2025
690928,P,45,256,2025
690953,P,39,174,2025
690986,P,38,156,2025
690990,P,97,476,2025
690997,P,57,188,2025
691548,P,5,21,2025
691587,P,105,385,2025
691594,P,1,54,2025
691769,P,5,18,2025
691799,P,54,157,2025
691951,P,12,73,2025
692030,P,1,9,2025
692230,P,11,50,2025
