date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_pit,f_park,f_wind,wind,p,odds_dk,odds_mgm,odds_czr,fair
2026-08-12,823263,592885,Christian Yelich,Milwaukee Brewers,San Diego Padres,0,Robbie Ray,592662,L,8,362,4.4,0.82,0.97,0.99,0.98,1.18,WIND 9 OUT,11.7,,,,+755
2026-08-12,823511,682987,Spencer Jones,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,5,136,3.2,1.08,0.96,1.11,1.08,1.0,,11.7,464,390,425,+755
2026-08-12,822779,678882,Ceddanne Rafaela,Boston Red Sox,Toronto Blue Jays,0,José Soriano,667755,R,16,480,4.2,1.07,0.98,0.91,1.01,1.0,,11.7,910,575,750,+755
2026-08-12,823994,677649,Ezequiel Duran,Texas Rangers,Los Angeles Angels,0,George Klassen,691946,R,13,423,3.8,1.01,1.06,0.97,1.02,1.0,,11.7,880,500,700,+755
2026-08-12,823833,687462,Spencer Horwitz,Pittsburgh Pirates,Miami Marlins,0,Janson Junk,676083,R,10,325,4.0,1.01,1.04,1.04,0.92,1.0,,11.6,610,650,575,+762
2026-08-12,823511,806068,Colt Emerson,Seattle Mariners,New York Yankees,0,Will Warren,701542,R,8,237,3.5,1.06,0.99,1.0,1.08,1.0,,11.6,610,525,525,+762
2026-08-12,823994,687093,Vaughn Grissom,Los Angeles Angels,Texas Rangers,1,Cal Quantrill,615698,R,7,299,3.8,0.86,1.17,1.02,1.02,1.0,,11.6,810,600,700,+762
2026-08-12,824883,701807,Carson Benge,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,13,476,4.1,0.93,0.99,1.02,1.02,1.0,,11.5,640,575,525,+770
2026-08-12,823994,642350,Jose Siri,Los Angeles Angels,Texas Rangers,1,Cal Quantrill,615698,R,7,142,3.2,1.26,0.94,1.02,1.02,1.0,,11.5,,,,+770
2026-08-12,823994,666139,Josh Lowe,Los Angeles Angels,Texas Rangers,1,Cal Quantrill,615698,R,8,229,3.2,1.08,1.1,1.02,1.02,1.0,,11.5,600,550,575,+770
2026-08-12,824241,608070,José Ramírez,Cleveland Guardians,Detroit Tigers,0,Framber Valdez,664285,L,10,380,4.3,0.91,1.17,0.89,0.95,1.0,,11.4,518,525,500,+777
2026-08-12,822698,683737,Michael Busch,Chicago Cubs,Washington Nationals,0,Jackson Kent,800600,L,14,536,4.5,0.9,0.97,1.0,1.0,1.0,,11.4,414,390,390,+777
2026-08-12,824883,673357,Luis Robert Jr.,New York Mets,Atlanta Braves,0,Tyler Mahle,641816,R,5,163,3.9,1.0,0.95,1.02,1.02,1.0,,11.4,575,,525,+777
2026-08-12,823916,686475,Tyler Tolbert,Kansas City Royals,Los Angeles Dodgers,0,Eric Lauer,641778,L,3,101,3.2,0.99,0.94,1.19,1.1,1.0,,11.4,970,550,750,+777
2026-08-12,823511,669224,Austin Wells,New York Yankees,Seattle Mariners,1,Bryce Miller,682243,R,8,271,3.2,0.98,1.02,1.11,1.08,1.0,,11.3,382,450,400,+785
2026-08-12,823672,686797,Brooks Lee,Minnesota Twins,Baltimore Orioles,1,Shane Baz,669358,R,17,463,4.0,1.14,1.14,0.86,0.99,0.86,WIND 7 IN,11.2,1200,,750,+793
