date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2
2026-08-17,823589,672356,Gabriel Arias,New York Mets,San Diego Padres,1,Walker Buehler,621111,R,31,139,44,3.16,3.03,1.01,1.03,0.98,0.22055,53.0,12.7,,,,,,,-113,+687
2026-08-17,824077,666126,Carlos Cortes,Athletics,Kansas City Royals,0,Michael Wacha,608379,R,64,279,91,3.07,2.95,1.03,1.0,1.02,0.22586,53.0,12.6,-178,-210,-230,325,240,265,-113,+694
2026-08-17,823427,624641,Edmundo Sosa,Philadelphia Phillies,Miami Marlins,1,Janson Junk,676083,R,41,205,65,3.15,3.02,0.97,1.04,1.0,0.21976,52.7,12.5,,,,,,,-111,+700
2026-08-17,824641,699393,Pedro Ramírez,Chicago Cubs,Chicago White Sox,1,Luis Castillo,622491,R,38,140,49,2.86,2.75,1.07,1.03,1.0,0.23753,52.6,11.9,-186,-190,-235,311,280,260,-111,+740
2026-08-17,824478,665877,José Fermín,St. Louis Cardinals,Cincinnati Reds,0,Rhett Lowder,695076,R,55,258,85,3.04,2.92,0.99,1.03,1.01,0.22481,52.5,12.2,,,,,,,-111,+720
2026-08-17,824725,694374,Tim Tawa,Arizona Diamondbacks,Boston Red Sox,0,TBD,,,44,212,68,3.12,3.0,0.99,1.0,1.03,0.21961,52.5,12.4,-165,-155,-190,355,350,305,-111,+706
2026-08-17,822939,665750,Leody Taveras,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,75,379,107,3.54,3.4,0.96,0.96,0.99,0.19607,52.4,12.9,-147,-120,-152,415,450,380,-110,+675
2026-08-17,824478,677592,Everson Pereira,St. Louis Cardinals,Cincinnati Reds,0,Rhett Lowder,695076,R,21,100,33,3.03,2.91,0.99,1.03,1.01,0.22475,52.3,12.1,,,,,,,-110,+726
2026-08-17,822939,680700,Richie Palacios,Tampa Bay Rays,Baltimore Orioles,1,Brandon Young,687064,R,62,299,93,3.22,3.09,0.98,1.01,0.99,0.21282,52.3,12.4,-132,-130,-136,441,425,425,-110,+706
2026-08-17,822939,702616,Jackson Holliday,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,51,245,72,3.4,3.26,0.99,0.96,0.99,0.20161,52.0,12.5,-170,-155,-190,347,340,300,-108,+700
2026-08-17,824320,687597,Jordan Beck,Colorado Rockies,Los Angeles Dodgers,1,Blake Snell,605483,L,20,112,37,3.03,2.91,0.96,1.0,1.07,0.22313,52.0,11.9,-135,-155,-162,444,350,360,-108,+740
2026-08-17,822939,687637,Dylan Beavers,Baltimore Orioles,Tampa Bay Rays,0,Shane McClanahan,663556,L,49,232,69,3.36,3.23,0.99,0.96,0.99,0.20277,51.9,12.4,,,,,,,-108,+706
2026-08-17,823427,683357,Owen Caissie,Miami Marlins,Philadelphia Phillies,0,Cristopher Sánchez,650911,L,57,283,91,3.11,2.99,0.97,1.03,1.0,0.21648,51.8,11.9,,,,,,,-107,+740
2026-08-17,824725,657136,Connor Wong,Boston Red Sox,Arizona Diamondbacks,1,Mitch Bratt,683352,L,41,191,62,3.08,2.96,1.0,0.98,1.03,0.21846,51.8,11.9,,,,,,,-107,+740
2026-08-17,824514,682622,Noelvi Marte,Cincinnati Reds,St. Louis Cardinals,1,TBD,,,36,198,61,3.25,3.12,0.95,1.0,1.01,0.2079,51.7,12.1,,,,,,,-107,+726
2026-08-17,822939,683748,Victor Mesa Jr.,Tampa Bay Rays,Baltimore Orioles,1,Brandon Young,687064,R,34,178,55,3.24,3.11,0.96,1.01,0.99,0.20884,51.7,12.1,-177,-175,-193,324,310,290,-107,+726
2026-08-17,823668,642086,Dominic Smith,Atlanta Braves,Minnesota Twins,0,Bailey Ober,641927,R,66,279,97,2.88,2.76,1.04,1.03,1.0,0.23154,51.7,11.5,,,,,,,-107,+770
2026-08-17,823343,694378,Jacob Gonzalez,Pittsburgh Pirates,Detroit Tigers,1,Framber Valdez,664285,L,36,168,56,3.0,2.88,1.0,1.02,1.01,0.22285,51.6,11.7,,,,,,,-107,+755
2026-08-17,823343,701678,Hao-Yu Lee,Detroit Tigers,Pittsburgh Pirates,0,Carmen Mlodzinski,669387,R,54,217,79,2.75,2.64,1.05,1.04,1.01,0.23905,51.4,11.1,,,,,,,-106,+801
2026-08-17,824641,665804,Miguel Amaya,Chicago Cubs,Chicago White Sox,1,Luis Castillo,622491,R,42,204,67,3.04,2.92,0.98,1.03,1.0,0.21918,51.4,11.6,,-120,,,475,,-106,+762
2026-08-17,823589,620443,Luis Torrens,New York Mets,San Diego Padres,1,Walker Buehler,621111,R,48,225,74,3.04,2.92,1.0,1.03,0.98,0.21773,51.2,11.5,,,,,,,-105,+770
2026-08-17,824077,671732,Lawrence Butler,Athletics,Kansas City Royals,0,Michael Wacha,608379,R,69,376,116,3.24,3.11,0.93,1.0,1.02,0.20419,50.9,11.6,-181,-190,-225,324,280,260,-104,+762
2026-08-17,824514,670770,TJ Friedl,Cincinnati Reds,St. Louis Cardinals,1,TBD,,,34,242,70,3.46,3.32,0.87,1.0,1.01,0.19049,50.4,11.7,,,,,,,-102,+755
2026-08-17,824320,664954,Brett Sullivan,Colorado Rockies,Los Angeles Dodgers,1,Blake Snell,605483,L,39,175,64,2.73,2.62,1.01,1.0,1.07,0.23413,50.3,10.5,-132,,-152,422,,390,-101,+852
2026-08-17,822939,668723,Ryan Vilade,Tampa Bay Rays,Baltimore Orioles,1,Brandon Young,687064,R,46,202,70,2.89,2.77,1.02,1.01,0.99,0.22048,49.8,10.5,,,,,,,+101,+852
