date,pk,pitcher_id,name,team,opp,home,hand,season_so,season_bf,season_gs,season_ip,prior_so,prior_bf,bf_l5,bf_season,exp_bf,p_pit,f_pit,lineup_src,lineup_n,lineup_k,f_lineup,pk_pa,exp_k,p_over_3.5,p_over_4.5,p_over_5.5,p_over_6.5,p_over_7.5,p_over_8.5,line_dk,over_dk,under_dk,line_fd,over_fd,under_fd,line_mgm,over_mgm,under_mgm,line_czr,over_czr,under_czr,alts,cons_line,p_over_cons,fair_over,fair_under,best_side,best_book,best_line,best_price,best_edge,odds_at,built_at,src,lock_lineup_n,lock_lineup_k,lock_f_lineup,lock_pk_pa,lock_exp_k,lock_p_over_3.5,lock_p_over_4.5,lock_p_over_5.5,lock_p_over_6.5,lock_p_over_7.5,lock_p_over_8.5,lock_cons_line,lock_p_over_cons,lock_fair_over,lock_fair_under,lock_best_side,lock_best_book,lock_best_line,lock_best_price,lock_best_edge,lock_odds_at,lock_built_at,started,k_actual,bf_actual,ip_actual,over_cons,best_result,lock_over_cons,lock_best_result,graded_at
2026-08-17,824725,683352,Mitch Bratt,Arizona Diamondbacks,Boston Red Sox,0,L,25,143,7,33.7,0,0,23.0,20.87,22.47,0.2018,0.913,previous,9,0.2002,0.905,0.1823,3.97,0.5611,0.3707,0.2163,0.112,0.0517,0.0215,3.5,-142,111,3.5,-142,112,3.5,-155,105,,,,"{""fd"":{""2.5"":[-400,null],""3.5"":[-142,null],""4.5"":[164,null],""5.5"":[360,null]},""czr"":{""2.5"":[-500,null],""3.5"":[-164,null],""4.5"":[138,null],""5.5"":[300,null],""6.5"":[650,null]},""mgm"":{""3.5"":[-150,null],""4.5"":[145,null],""5.5"":[300,null],""2.5"":[-350,null],""6.5"":[575,null]},""dk"":{""1.5"":[-1200,null],""2.5"":[-356,null],""3.5"":[-139,null],""4.5"":[163,null],""5.5"":[358,null],""6.5"":[750,null],""7.5"":[1520,null]}}",3.5,0.5611,-128,+128,over,dk,3.5,-142,0.008,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2079,0.94,0.1894,4.12,0.5906,0.4007,0.2408,0.1286,0.0613,0.0263,3.5,0.5906,-144,+144,over,dk,3.5,-142,0.0374,2026-08-17T15:32:01Z,2026-08-17T20:16:25Z,1,0,16,3.0,0,L,0,L,2026-08-18T04:27:09Z
2026-08-17,824725,687941,Alec Gamboa,Boston Red Sox,Arizona Diamondbacks,1,L,12,68,0,17.0,0,0,21.9,21.9,21.9,0.2098,0.949,previous,9,0.1995,0.902,0.189,4.11,0.589,0.3991,0.2394,0.1276,0.0608,0.026,,,,,,,,,,,,,,,,,,,,,,,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,,,,,,,,,,,,,,,,,,,,,,,1,1,4,1.3,,,,,2026-08-18T04:27:09Z
2026-08-17,823589,621111,Walker Buehler,San Diego Padres,New York Mets,0,R,100,497,24,114.3,92,565,21.8,20.91,21.58,0.1946,0.88,previous,9,0.2208,0.998,0.1943,4.23,0.6102,0.4214,0.2582,0.1407,0.0686,0.03,3.5,-151,118,3.5,-156,122,4.5,120,-175,,,,"{""fd"":{""2.5"":[-480,null],""3.5"":[-156,null],""4.5"":[146,null],""5.5"":[340,null],""6.5"":[750,null]},""dk"":{""1.5"":[-1540,null],""2.5"":[-404,null],""3.5"":[-157,null],""4.5"":[148,null],""5.5"":[331,null],""6.5"":[740,null],""7.5"":[1520,null]},""czr"":{""2.5"":[-500,null],""3.5"":[-170,null],""4.5"":[135,null],""5.5"":[290,null],""6.5"":[625,null],""7.5"":[1400,null]},""mgm"":{""4.5"":[120,null],""2.5"":[-450,null],""5.5"":[240,null],""3.5"":[-175,null],""6.5"":[450,null]}}",3.5,0.6102,-157,+157,over,dk,3.5,-151,0.0428,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2237,1.011,0.1969,4.28,0.6204,0.4324,0.2676,0.1474,0.0726,0.0322,3.5,0.6204,-163,+163,over,fd,3.5,-158,0.042,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,4,21,6.0,1,W,1,W,2026-08-18T04:27:09Z
2026-08-17,823589,690997,Nolan McLean,New York Mets,San Diego Padres,1,R,159,568,24,136.7,57,188,24.0,23.53,23.88,0.275,1.243,previous,9,0.2024,0.915,0.2531,6.01,0.8458,0.7194,0.5641,0.4042,0.2637,0.1565,5.5,-140,110,5.5,-148,114,5.5,-160,110,,,,"{""fd"":{""3.5"":[-1000,null],""4.5"":[-360,null],""5.5"":[-148,null],""6.5"":[132,null],""7.5"":[280,null],""8.5"":[560,null]},""dk"":{""2.5"":[-3200,null],""3.5"":[-790,null],""4.5"":[-307,null],""5.5"":[-141,null],""6.5"":[145,null],""7.5"":[296,null],""8.5"":[590,null],""9.5"":[1180,null]},""czr"":{""9.5"":[850,null],""3.5"":[-1450,null],""4.5"":[-345,null],""5.5"":[-157,null],""6.5"":[125,null],""7.5"":[235,null],""8.5"":[425,null]},""mgm"":{""5.5"":[-160,null],""4.5"":[-325,null],""6.5"":[120,null],""3.5"":[-700,null],""7.5"":[210,null]}}",5.5,0.5641,-129,+129,over,dk,5.5,-140,0.0135,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2031,0.918,0.254,6.03,0.8474,0.7219,0.5672,0.4074,0.2664,0.1586,5.5,0.5672,-131,+131,over,dk,5.5,-140,0.0166,2026-08-17T15:32:01Z,2026-08-17T21:31:04Z,1,3,26,6.0,0,L,0,L,2026-08-18T04:27:09Z
2026-08-17,824077,686930,Mason Barnett,Athletics,Kansas City Royals,0,R,36,167,3,38.0,18,104,20.67,21.28,20.82,0.2097,0.948,previous,9,0.2137,0.966,0.2025,4.2,0.6069,0.4177,0.2547,0.1379,0.0667,0.0289,3.5,110,-140,3.5,112,-142,3.5,-105,-140,,,,"{""fd"":{""2.5"":[-265,null],""3.5"":[112,null],""4.5"":[250,null],""5.5"":[560,null]},""dk"":{""1.5"":[-640,null],""2.5"":[-221,null],""3.5"":[110,null],""4.5"":[241,null],""5.5"":[538,null],""6.5"":[1180,null]},""czr"":{""1.5"":[-1450,null],""2.5"":[-260,null],""3.5"":[101,null],""4.5"":[235,null],""5.5"":[550,null],""6.5"":[1300,null]},""mgm"":{""3.5"":[100,null],""2.5"":[-250,null],""6.5"":[850,null],""5.5"":[450,null],""4.5"":[210,null]}}",3.5,0.6069,-154,+154,over,fd,3.5,112,0.1613,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,7,0.2203,0.996,0.2089,4.33,0.6307,0.4434,0.2769,0.1538,0.0763,0.034,3.5,0.6307,-171,+171,over,dk,3.5,115,0.192,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,2,18,2.7,0,L,0,L,2026-08-18T04:27:09Z
2026-08-17,824077,608379,Michael Wacha,Kansas City Royals,Athletics,1,R,117,612,24,150.7,126,716,25.0,25.3,25.07,0.1899,0.858,previous,9,0.2185,0.988,0.1875,4.64,0.6784,0.4978,0.3275,0.1933,0.1027,0.0493,4.5,-106,-120,4.5,100,-128,4.5,-115,-125,,,,"{""fd"":{""2.5"":[-850,null],""3.5"":[-265,null],""4.5"":[100,null],""5.5"":[210,null],""6.5"":[450,null]},""dk"":{""1.5"":[-3100,null],""2.5"":[-700,null],""3.5"":[-249,null],""4.5"":[-107,null],""5.5"":[206,null],""6.5"":[450,null],""7.5"":[950,null]},""czr"":{""2.5"":[-1000,null],""3.5"":[-265,null],""4.5"":[-115,null],""5.5"":[191,null],""6.5"":[375,null],""7.5"":[800,null]},""mgm"":{""6.5"":[325,null],""3.5"":[-250,null],""5.5"":[175,null],""4.5"":[-115,null],""2.5"":[-625,null]}}",4.5,0.4978,+101,-101,over,fd,4.5,100,0.0267,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.1925,0.87,0.1644,4.07,0.5785,0.3891,0.2323,0.1237,0.059,0.0254,4.5,0.3891,+157,-157,under,mgm,4.5,-125,0.1014,2026-08-17T15:32:01Z,2026-08-17T21:01:32Z,1,3,20,5.0,0,L,0,W,2026-08-18T04:27:09Z
2026-08-17,823668,527048,Martín Pérez,Atlanta Braves,Minnesota Twins,0,L,80,430,19,106.3,44,228,19.4,21.08,19.82,0.1924,0.87,previous,9,0.2102,0.95,0.1825,3.61,0.4903,0.3025,0.1635,0.0779,0.033,0.0125,3.5,-117,-109,3.5,-108,-120,3.5,-110,-135,,,,"{""fd"":{""2.5"":[-330,null],""3.5"":[-108,null],""4.5"":[215,null],""5.5"":[470,null]},""dk"":{""1.5"":[-1100,null],""2.5"":[-306,null],""3.5"":[-118,null],""4.5"":[199,null],""5.5"":[449,null],""6.5"":[1000,null]},""czr"":{""2.5"":[-310,null],""3.5"":[-112,null],""4.5"":[198,null],""5.5"":[450,null],""6.5"":[900,null]},""mgm"":{""2.5"":[-225,null],""6.5"":[850,null],""3.5"":[105,null],""5.5"":[450,null],""4.5"":[230,null]}}",3.5,0.4903,+104,-104,under,dk,3.5,-109,0.018,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2066,0.934,0.1792,3.54,0.4765,0.29,0.1544,0.0725,0.0302,0.0113,3.5,0.4765,+110,-110,under,mgm,3.5,-120,0.0235,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,3,25,5.0,0,W,0,W,2026-08-18T04:27:09Z
2026-08-17,823668,641927,Bailey Ober,Minnesota Twins,Atlanta Braves,1,R,67,415,18,99.0,120,624,23.0,23.18,23.05,0.1738,0.786,previous,9,0.2117,0.957,0.1659,3.77,0.5223,0.3331,0.1874,0.0934,0.0416,0.0167,3.5,-107,-119,3.5,100,-128,3.5,-120,-120,,,,"{""fd"":{""2.5"":[-310,null],""3.5"":[100,null],""4.5"":[230,null],""5.5"":[520,null]},""dk"":{""1.5"":[-990,null],""2.5"":[-283,null],""3.5"":[-108,null],""4.5"":[221,null],""5.5"":[520,null],""6.5"":[1160,null]},""czr"":{""1.5"":[-2000,null],""2.5"":[-310,null],""3.5"":[-114,null],""4.5"":[200,null],""5.5"":[450,null],""6.5"":[1000,null]},""mgm"":{""5.5"":[360,null],""2.5"":[-275,null],""3.5"":[-115,null],""6.5"":[700,null],""4.5"":[180,null]}}",3.5,0.5223,-109,+109,over,fd,3.5,100,0.0512,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2075,0.938,0.1624,3.7,0.5063,0.3181,0.176,0.0863,0.0378,0.0149,3.5,0.5063,-103,+103,over,fd,3.5,102,0.0394,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,4,20,4.3,1,W,1,W,2026-08-18T04:27:09Z
2026-08-17,824641,622491,Luis Castillo,Chicago White Sox,Chicago Cubs,0,R,101,484,19,110.7,162,745,23.8,22.8,23.55,0.2115,0.956,previous,9,0.2188,0.989,0.2092,4.97,0.7282,0.5578,0.3852,0.2394,0.134,0.0678,4.5,-126,-101,4.5,-115,-111,4.5,-145,100,,,,"{""fd"":{""2.5"":[-1000,null],""3.5"":[-320,null],""4.5"":[-115,null],""5.5"":[186,null],""6.5"":[420,null]},""dk"":{""1.5"":[-3800,null],""2.5"":[-790,null],""3.5"":[-286,null],""4.5"":[-127,null],""5.5"":[168,null],""6.5"":[349,null],""7.5"":[710,null],""8.5"":[1440,null]},""czr"":{""2.5"":[-1200,null],""3.5"":[-320,null],""4.5"":[-129,null],""5.5"":[159,null],""6.5"":[330,null],""7.5"":[675,null]},""mgm"":{""2.5"":[-800,null],""6.5"":[290,null],""5.5"":[145,null],""3.5"":[-300,null],""4.5"":[-140,null]}}",4.5,0.5578,-126,+126,over,fd,4.5,-115,0.0536,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2109,0.953,0.2015,4.79,0.7016,0.5252,0.3532,0.2132,0.1158,0.0568,4.5,0.5252,-111,+111,over,fd,4.5,-115,0.021,2026-08-17T15:32:01Z,2026-08-17T22:15:36Z,1,1,24,4.7,0,L,0,L,2026-08-18T04:27:09Z
2026-08-17,824641,684007,Shota Imanaga,Chicago Cubs,Chicago White Sox,1,L,130,554,24,137.3,117,567,23.2,22.99,23.15,0.2282,1.032,previous,9,0.2288,1.034,0.2359,5.37,0.7805,0.6261,0.4564,0.3007,0.1789,0.0963,5.5,-124,-102,5.5,-122,-104,5.5,-160,110,,,,"{""fd"":{""2.5"":[-4500,null],""3.5"":[-950,null],""4.5"":[-320,null],""5.5"":[-122,null],""6.5"":[162,null],""7.5"":[330,null],""8.5"":[700,null]},""dk"":{""2.5"":[-2700,null],""3.5"":[-720,null],""4.5"":[-281,null],""5.5"":[-128,null],""6.5"":[162,null],""7.5"":[330,null],""8.5"":[650,null],""9.5"":[1280,null]},""czr"":{""9.5"":[1000,null],""3.5"":[-1000,null],""4.5"":[-320,null],""5.5"":[-143,null],""6.5"":[143,null],""7.5"":[270,null],""8.5"":[500,null]},""mgm"":{""4.5"":[-325,null],""3.5"":[-700,null],""7.5"":[230,null],""5.5"":[-155,null],""6.5"":[125,null]}}",5.5,0.4564,+119,-119,under,mgm,5.5,110,0.1074,2026-08-17T15:32:01Z,2026-08-17T15:32:01Z,morning,9,0.2291,1.036,0.2363,5.38,0.7814,0.6274,0.4577,0.3019,0.1798,0.0969,5.5,0.4577,+118,-118,under,mgm,5.5,105,0.097,2026-08-17T20:01:51Z,2026-08-17T20:01:51Z,1,10,24,6.0,1,L,1,L,2026-08-18T04:27:09Z
