date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_hr,season_pa,exp_pa,f_bat,f_platoon,f_arsenal,f_pit,f_park,f_wind,f_temp,wind,hr_pa,p,odds_dk,odds_mgm,odds_czr,fair
2026-09-12,824224,656716,Zach McKinstry,Detroit Tigers,Colorado Rockies,1,Tanner Gordon,685299,R,4,398,3.4,0.62,0.83,1.15,1.12,0.95,0.78,1.03,WIND 11 IN,0.02007,6.7,,,,+1393
2026-09-12,822768,665750,Leody Taveras,Baltimore Orioles,Toronto Blue Jays,0,Spencer Miles,693686,R,8,453,3.5,0.75,1.01,1.11,0.86,1.01,1.16,1.02,WIND 8 OUT,0.01977,6.7,880,725,850,+1393
2026-09-12,822685,672724,Oswald Peraza,Los Angeles Angels,Washington Nationals,0,Andrew Alvarez,674841,L,7,352,3.2,0.81,1.18,0.86,0.86,1.0,1.0,1.0,,0.02139,6.7,,,,+1393
2026-09-12,824712,679845,Nick Loftin,Kansas City Royals,Boston Red Sox,0,Ranger Suarez,624133,L,7,393,3.6,0.77,0.8,1.03,0.86,0.96,1.0,1.0,,0.01922,6.7,1160,900,950,+1393
2026-09-12,823819,500743,Miguel Rojas,Los Angeles Dodgers,Miami Marlins,0,Tyler Phillips,663969,R,3,223,3.2,0.76,0.8,0.95,1.0,0.92,1.0,1.0,,0.02132,6.7,,,,+1393
2026-09-12,823009,686780,Pedro Pagés,St. Louis Cardinals,Chicago White Sox,1,Sean Newcomb,656794,L,4,198,3.2,0.87,0.8,1.06,0.86,0.94,1.0,1.0,,0.02142,6.7,,,,+1393
2026-09-12,824955,687231,Darell Hernaiz,Athletics,Seattle Mariners,1,Bryan Woo,693433,R,1,157,3.2,0.73,0.8,0.99,0.98,1.0,1.0,1.0,,0.02157,6.7,,,,+1393
2026-09-12,823819,676439,Hunter Feduccia,Los Angeles Dodgers,Miami Marlins,0,Tyler Phillips,663969,R,3,226,3.2,0.76,0.88,0.93,1.0,0.92,1.0,1.0,,0.0212,6.6,,,,+1415
2026-09-12,823170,823550,Sung-Mun Song,San Diego Padres,San Francisco Giants,0,Cesar Perdomo,702885,L,1,143,3.2,0.75,0.96,1.01,1.0,0.91,1.0,1.0,,0.02065,6.5,,,,+1438
2026-09-12,823819,691594,Javier Sanoja,Miami Marlins,Los Angeles Dodgers,1,Tyler Glasnow,607192,R,8,431,3.3,0.77,0.87,1.0,0.94,0.92,1.0,1.0,,0.02028,6.5,1340,1000,1100,+1438
2026-09-12,823009,700337,Edgar Quero,Chicago White Sox,St. Louis Cardinals,0,Kyle Leahy,681517,R,3,217,3.2,0.77,0.8,1.0,0.94,0.94,1.0,1.0,,0.02072,6.5,,,,+1438
2026-09-12,824224,687597,Jordan Beck,Colorado Rockies,Detroit Tigers,0,Andrew Sears,808825,L,1,154,3.2,0.73,0.91,1.14,0.97,0.95,0.78,1.03,WIND 11 IN,0.02062,6.4,670,900,750,+1462
2026-09-12,823819,690976,Alex Freeland,Los Angeles Dodgers,Miami Marlins,0,Tyler Phillips,663969,R,3,248,3.2,0.73,0.85,1.04,1.0,0.92,1.0,1.0,,0.02035,6.4,1060,1200,950,+1462
2026-09-12,822768,664702,Myles Straw,Toronto Blue Jays,Baltimore Orioles,1,Kyle Bradish,680694,R,3,295,3.2,0.67,0.8,0.85,0.97,1.01,1.16,1.02,WIND 8 OUT,0.01983,6.2,,,,+1513
2026-09-12,822685,624428,Adam Frazier,Los Angeles Angels,Washington Nationals,0,Andrew Alvarez,674841,L,1,140,3.2,0.76,0.93,1.04,0.86,1.0,1.0,1.0,,0.01987,6.2,,,,+1513
2026-09-12,822927,663743,Nick Fortes,Tampa Bay Rays,Houston Astros,1,Peter Lambert,663567,R,4,297,3.2,0.72,0.98,1.01,0.92,0.98,1.0,1.0,,0.01973,6.2,,,,+1513
2026-09-12,824630,693304,Nick Gonzales,Pittsburgh Pirates,Chicago Cubs,0,Clay Holmes,605280,R,6,568,4.1,0.57,0.85,0.85,0.86,1.0,1.0,1.0,,0.01507,6.0,940,800,850,+1567
