season,game_id,date,home_team,away_team,home_win,home_era,home_whip,home_k9,home_bb9,away_era,away_whip,away_k9,away_bb9,home_ops,home_kpct,away_ops,away_kpct,era_diff,k9_diff,ops_diff
2023,718707,2023-04-04,Oakland Athletics,Cleveland Guardians,1,4.54,1.26,8.41,2.77,3.8,1.23,7.52,2.39,0.665,25.1,0.688,18.7,-0.7400000000000002,0.8900000000000006,-0.0229999999999999
2023,718706,2023-04-04,Seattle Mariners,Los Angeles Angels,1,3.34,1.1,10.01,2.56,8.29,1.96,7.49,5.35,0.74,25.9,0.761,24.8,4.949999999999999,2.52,-0.021
2023,718703,2023-04-04,Los Angeles Dodgers,Colorado Rockies,1,4.6,1.16,8.97,1.84,4.95,1.1,7.65,1.35,0.806,21.5,0.696,25.5,0.3500000000000005,1.3200000000000005,0.1100000000000001
2023,718704,2023-04-05,Washington Nationals,Tampa Bay Rays,0,5.2,1.48,6.2,2.85,3.29,1.18,9.47,3.21,0.72,18.9,0.771,23.0,-1.91,-3.2700000000000005,-0.051
2023,718699,2023-04-05,New York Yankees,Philadelphia Phillies,1,2.63,0.98,9.56,2.07,4.46,1.15,9.39,2.09,0.71,23.9,0.715,23.9,1.83,0.1699999999999999,-0.005
2023,718701,2023-04-05,Miami Marlins,Minnesota Twins,1,3.58,1.21,10.48,2.77,3.66,1.15,10.86,2.23,0.695,21.3,0.73,26.6,0.08,-0.379999999999999,-0.035
2023,718697,2023-04-05,St. Louis Cardinals,Atlanta Braves,0,4.78,1.32,6.12,1.74,3.81,1.28,6.6,3.25,0.76,21.4,0.845,20.6,-0.9700000000000002,-0.4799999999999995,-0.0849999999999999
2023,718702,2023-04-05,Boston Red Sox,Pittsburgh Pirates,0,7.04,1.64,6.87,3.44,4.21,1.25,9.73,2.55,0.728,22.2,0.734,24.0,-2.83,-2.8600000000000003,-0.006
2023,718698,2023-04-05,Milwaukee Brewers,New York Mets,1,3.39,1.07,9.29,3.07,5.03,1.57,10.38,4.05,0.693,23.2,0.734,22.0,1.64,-1.0900000000000016,-0.041
2023,718694,2023-04-05,Texas Rangers,Baltimore Orioles,1,2.67,0.76,13.35,1.19,4.35,1.34,9.52,3.1,0.817,22.5,0.739,22.4,1.6799999999999995,3.83,0.0779999999999999
2023,718696,2023-04-05,Houston Astros,Detroit Tigers,1,4.56,1.27,8.83,3.44,3.3,1.15,8.43,2.83,0.689,19.8,0.623,24.2,-1.2599999999999998,0.4000000000000003,0.0659999999999999
