date,pk,player_id,name,team,opp,home,opp_sp,opp_sp_id,sp_hand,season_h,season_pa,season_g,pa_g,n_eff,f_bat,f_pit,f_park,h_pa,p,p2,odds_dk,odds_mgm,odds_czr,odds2_dk,odds2_mgm,odds2_czr,fair,fair2,odds_dk_u
2026-09-11,824227,701162,Ben Malgeri,Detroit Tigers,Colorado Rockies,1,Mason Adams,690279,R,23,115,47,2.45,2.3,0.98,1.02,0.99,0.21658,43.0,6.7,-128,,-130,459,,425,+133,+1393,-104
2026-09-11,824711,642201,Eli White,Boston Red Sox,Kansas City Royals,1,Seth Lugo,607625,R,47,204,96,2.12,1.99,1.02,1.08,1.03,0.24528,42.9,5.9,,-150,,,375,,+133,+1595,
2026-09-11,822930,664774,LaMonte Wade Jr.,Houston Astros,Tampa Bay Rays,0,Drew Rasmussen,656876,R,23,128,47,2.72,2.56,0.96,0.95,0.99,0.19534,42.7,7.0,,,,,,,+134,+1329,
2026-09-11,823173,666023,Freddy Fermin,San Diego Padres,San Francisco Giants,0,Anthony Molina,683627,R,41,245,88,2.78,2.61,0.91,0.99,0.98,0.19218,42.7,7.1,,,,,,,+134,+1308,
2026-09-11,823012,682668,Luisangel Acuña,Chicago White Sox,St. Louis Cardinals,0,Matthew Liberatore,669461,L,46,207,92,2.25,2.11,1.01,1.07,0.99,0.23157,42.6,6.2,-148,-140,-148,342,390,360,+135,+1513,112
2026-09-11,823736,663647,Ke'Bryan Hayes,Cincinnati Reds,Milwaukee Brewers,0,Dustin May,669160,R,31,217,80,2.71,2.55,0.88,1.02,1.0,0.19527,42.5,7.0,-118,100,-117,463,575,500,+135,+1329,-112
2026-09-11,824954,645302,Victor Robles,Seattle Mariners,Athletics,0,Jeffrey Springs,605488,L,34,147,65,2.26,2.12,1.02,1.04,1.0,0.22828,42.3,6.1,,,,,,,+136,+1539,
2026-09-11,824954,642215,Weston Wilson,Seattle Mariners,Athletics,0,Jeffrey Springs,605488,L,26,151,62,2.44,2.29,0.94,1.04,1.0,0.21159,42.0,6.3,-134,,-134,388,,425,+138,+1487,101
2026-09-11,823817,669743,Alex Call,Los Angeles Dodgers,Miami Marlins,0,Ryan Gusto,687473,R,37,183,80,2.29,2.15,0.98,1.04,1.01,0.22312,41.9,6.0,,,,,,,+139,+1567,
2026-09-11,823659,668952,Ryan Kreidler,Minnesota Twins,Cleveland Guardians,1,Parker Messick,800048,L,47,236,93,2.54,2.39,0.97,0.96,1.0,0.20246,41.8,6.4,,,,,,,+139,+1462,
2026-09-11,822767,664702,Myles Straw,Toronto Blue Jays,Baltimore Orioles,1,Chris Bassitt,605135,R,62,295,134,2.2,2.07,0.99,1.07,1.0,0.22916,41.7,5.7,,-135,,,400,,+140,+1654,
2026-09-11,823659,690984,Petey Halpin,Cleveland Guardians,Minnesota Twins,0,Taj Bradley,671737,R,34,173,70,2.47,2.32,0.97,0.97,1.0,0.20428,41.1,6.1,,,,,,,+143,+1539,
2026-09-11,822684,623168,Tyler Heineman,Los Angeles Angels,Washington Nationals,0,Cade Cavalli,676917,R,29,183,73,2.51,2.36,0.92,0.99,1.0,0.19695,40.4,5.9,-126,-120,-129,424,450,450,+148,+1595,-105
2026-09-11,824711,686475,Tyler Tolbert,Kansas City Royals,Boston Red Sox,0,Sonny Gray,543243,R,35,134,72,1.86,1.88,1.05,1.01,1.03,0.23632,39.8,4.7,,-125,,,425,,+151,+2028,
2026-09-11,822684,642350,Jose Siri,Los Angeles Angels,Washington Nationals,0,Cade Cavalli,676917,R,42,206,92,2.24,2.11,0.98,0.99,1.0,0.21079,39.3,5.1,,,,,,,+154,+1861,
2026-09-11,824711,663330,Jahmai Jones,Boston Red Sox,Kansas City Royals,1,Seth Lugo,607625,R,29,152,83,1.83,1.88,0.97,1.08,1.03,0.23222,39.2,4.6,,,,,,,+155,+2074,
2026-09-11,823173,813841,Jonah Cox,San Francisco Giants,San Diego Padres,1,Robbie Ray,592662,L,26,104,47,2.21,2.08,1.03,0.97,0.98,0.21283,39.2,5.0,-159,-175,-162,352,310,320,+155,+1900,119
2026-09-11,822684,624428,Adam Frazier,Los Angeles Angels,Washington Nationals,0,Cade Cavalli,676917,R,28,137,62,2.21,2.08,0.99,0.99,1.0,0.21197,39.1,5.0,-141,-130,-139,389,425,390,+156,+1900,106
2026-09-11,823817,665923,Esteury Ruiz,Miami Marlins,Los Angeles Dodgers,1,TBD,,,41,213,96,2.22,2.09,0.96,1.0,1.01,0.21023,38.9,5.0,112,110,117,720,650,750,+157,+1900,-149
2026-09-11,822930,622761,Jorge Mateo,Tampa Bay Rays,Houston Astros,1,Miguel Ullola,699044,R,38,192,87,2.21,2.08,0.97,0.99,0.99,0.20699,38.3,4.8,-114,-110,-117,541,500,500,+161,+1983,-116
2026-09-11,822930,676369,Nelson Velázquez,Houston Astros,Tampa Bay Rays,0,Drew Rasmussen,656876,R,18,105,45,2.33,2.19,0.96,0.95,0.99,0.19492,37.8,4.8,,,,,,,+165,+1983,
2026-09-11,823659,681807,David Fry,Cleveland Guardians,Minnesota Twins,0,Taj Bradley,671737,R,30,184,81,2.27,2.13,0.92,0.97,1.0,0.19378,36.8,4.4,,,,,,,+172,+2173,
2026-09-11,824873,656537,Derek Hill,Philadelphia Phillies,Atlanta Braves,0,Chris Sale,519242,L,46,203,107,1.9,1.88,1.02,0.98,1.0,0.21487,36.5,3.9,111,-105,-103,620,525,600,+174,+2464,-147
2026-09-11,822930,669397,Nick Allen,Houston Astros,Tampa Bay Rays,0,Drew Rasmussen,656876,R,36,147,84,1.75,1.88,1.04,0.95,0.99,0.21092,35.9,3.7,,,,,,,+179,+2603,
2026-09-11,823173,823550,Sung-Mun Song,San Diego Padres,San Francisco Giants,0,Anthony Molina,683627,R,23,143,67,2.13,2.0,0.93,0.99,0.98,0.19608,35.4,3.8,,,,,,,+182,+2532,
2026-09-11,822930,678489,Jorge Barrosa,Houston Astros,Tampa Bay Rays,0,Drew Rasmussen,656876,R,27,162,98,1.65,1.88,0.93,0.95,0.99,0.19022,32.7,3.0,,,,,,,+206,+3233,
